Rank,Score,Autonomous Coding Skills,Driver Skills,Team Number,Team Name,Organization,Event Region
2117,62,0,62,33062G,Messi Squids,HARTSELLE INTERMEDIATE SCHOOL,Alabama
2118,62,7,55,44632J,Robo Rookies,LAKE ELEMENTARY SCHOOL,Ohio
2119,62,7,55,13236A,G.T. Team 1,G.T. (Ellen Yeung) College,Hong Kong
2120,62,7,55,5585D,D,JENNIE BARKER ELEMENTARY SCHOOL,Kansas
2121,62,7,55,7711M,Boone Meadow,BOONE MEADOW,Indiana - Region 2 - Central
2122,62,4,58,72777E,EF Warriors,EAST FORK LUTHERAN GRADE SCHOOL AND HIGH SCHOOL,Arizona
2123,62,4,58,67846H,Pivot Robotics,Great Plains MakerSpace - Pivot Robotics,Kansas
2124,62,4,58,44844N,The Cybertooth Tigers,Neenah Middle School,Wisconsin
2125,62,6,56,74764B,The Wild Ketchum Bots,VALLIANT ELEMENTARY SCHOOL,Oklahoma
2126,62,6,56,11028F,NCSA Robotics (ES),Newton County STEAM Academy,Georgia
2127,62,6,56,63031G,Golden bots,SPRINGHILL ELEMENTARY SCHOOL,Arkansas
2128,62,2,60,1605E,Mechanical Mavericks 2,Mechanical Mavericks 2,Minnesota
2129,62,0,62,402B,Competition Cookers,ST ROBERT BELLARMINE SCHOOL,Nebraska
2130,62,0,62,76709B,The Irons,Kenosha Lutheran Academy,Wisconsin
2131,62,4,58,71711A,Conchitas 2.0,Independence Elementary,California - South
2132,62,4,58,4507A,H.E.S. Robotics,HELIOTROPE AVENUE ELEMENTARY,California - South
2133,62,4,58,22724A,SCN Roundfort NS,Roundfort NS,Ireland
2134,62,4,58,11036D,The Plutos,POWDERSVILLE ELEMENTARY,South Carolina
2135,62,4,58,67846E,Pivot Robotics,Great Plains MakerSpace - Pivot Robotics,Kansas
2136,62,2,60,3708F,Shark Attack 2.0,Victoria Shanghai Academy,Hong Kong
2137,62,0,62,78273A,TechTitans Team Jeff,PS/MS 124Q OSMOND A CHURCH,New York-South
2138,62,0,62,18721A,Avalanche: Pioneer Robotics,Stillwater Middle School,Oklahoma
2139,62,0,62,60510A,Manisa RAWRZZZ,Annoor Robotics,Tennessee
2140,62,0,62,19702E,Echo Bots,JIMENEZ ROBERTO AND DR. FRANCISCO ELEMENTARY,California - South
2141,62,0,62,807C,Cyber Snakes,DARWIN L GILMORE ELEMENTARY SCHOOL,Texas - Region 3
2142,62,0,62,48506H,Holy Family NS VEX Robotics Team,Holy Family National School,Ireland
2143,62,0,62,25355B,BCE Wildcats B,BIG CREEK ELEMENTARY SCHOOL,Georgia
2144,62,0,62,10863C,JSTEA - 3,JSTEA,Hong Kong
2145,62,0,62,13236B,G.T. Team 2,G.T. (Ellen Yeung) College,Hong Kong
2146,62,0,62,1877M,Iron Dolphin,Sunkist Robotics Workshop,California - South
2147,62,0,62,59365E,The Ancient Gears,ST FRANCIS CATHOLIC SCHOOL,Minnesota
2148,62,0,62,31200K,Intelligence Wins,Embrace Multicultural Education Center,Ontario
2149,62,0,62,2465C,Pineapple Boys,VALLEY VIEW SCHOOL,Utah
2150,61,34,27,2614B,A4SIAN,Ascend International School,India
2151,61,0,61,38636B,Eagletronics,ARLINGTON ELEMENTARY/MIDDLE,Maryland
2152,61,27,34,16021A,Andersen Robotics - A,Andersen Elementary,Oklahoma
2153,61,18,43,7553K,Gear Grinders,ICGC,Ohio
2154,61,0,61,28124M,Techie Tigers,Mt. Pleasant Elementary,North Carolina
2155,61,17,44,68117P,Program Pirates,St. John Paul II Academy,Nebraska
2156,61,6,55,31186G,GANGSTER GORILLAS,PIONEER SCHOOL,Utah
2157,61,9,52,43210E,LFCD ReEngineers,Landau Forte Derby College,United Kingdom
2158,61,2,59,84636A,Pirate Robotics,PARKSIDE ELEMENTARY SCHOOL,Indiana - Region 3 - South
2159,61,4,57,13056E,The Big Bass,Royalton Community Education,Minnesota
2160,61,7,54,2730A,Flat Rock Tigresses,FLAT ROCK ELEMENTARY,South Carolina
2161,61,6,55,43920C,Potterbots: The Wacky Potters,WESTGATE MIDDLE SCHOOL,Ohio
2162,61,6,55,99200F,Ratatouille Rats,BLUFF RIDGE SCHOOL,Utah
2163,61,6,55,49979J,NewPal Cheese Curds,NEW PALESTINE INTERMEDIATE SCHOOL,Indiana - Region 2 - Central
2164,61,6,55,94329F,BOT_BROS,BOUNTIFUL SCHOOL,Utah
2165,61,0,61,29544E,Iron Huskies,CSA LINCOLN CAMPUS,Indiana - Region 3 - South
2166,61,0,61,78682F,DynamicDolphinBots 78682F,DAVES CREEK ELEMENTARY SCHOOL,Georgia
2167,61,0,61,151E,The Unknowns,Algoma District School Board,Ontario
2168,61,0,61,12410E,Tech Titans,HARMON MIDDLE SCHOOL,Ohio
2169,61,0,61,1112E,SCI Sharks -  Royal Blue,Sand Creek Intermediate School,Indiana - Region 2 - Central
2170,61,0,61,1517A,Eagle Bots,Eastwood Heights Elementary School,Texas - Region 1
2171,61,0,61,2783C,Cyber Dragons,CARTER LAKE ELEMENTARY SCHOOL,Iowa
2172,61,0,61,6039G,Cyber Ninjas,BrandywineBOTS Robotics,Delmarva
2173,61,0,61,10115C,Robo-Pirates 1,PINECREST ACADEMY (SOUTH CAMPUS),Florida - South
2174,61,0,61,99412C,Horizon Hackers,HORIZON ELEMENTARY SCHOOL,Indiana - Region 1 - North
2175,60,25,35,2547B,Queen,Showa Elementary School,Japan
2176,60,19,41,25801A,Mix 7s,MAKAHA ELEMENTARY SCHOOL,Hawaii
2177,60,19,41,10511P,RhoBots,CYPRESS RIDGE ELEMENTARY SCHOOL,Florida - North/Central
2178,60,9,51,95035A,Code-a-Cola Zero,VINTON ELEMENTARY SCHOOL,Louisiana
2179,60,17,43,1354B,The Bombarders,HERITAGE SCHOOL,Utah
2180,60,0,60,17529B,Droids,WILLIAM TELL ELEMENTARY SCHOOL,Indiana - Region 3 - South
2181,60,10,50,519A,Chaos Kids ,Burnside Elementary School,Kentucky
2182,60,4,56,44844H,Axolotls Rizzler Sigma Boys 5000,Neenah Middle School,Wisconsin
2183,60,9,51,19230A,BİLSEM 404,Arnavutköy Bilim ve Sanat Merkezi,Türkiye
2184,60,7,53,6033F,TBD,BMS Robotics,New Hampshire/Vermont
2185,60,7,53,90317F,The Orange Robot Stackers,HIGHLAND ELEMENTARY,Mississippi
2186,60,0,60,54602C,The Alban Dragons,ALBAN ELEMENTARY SCHOOL,West Virginia
2187,60,7,53,77015D,Vex TryHarders,"City of Riihimäki, Patastenmäen koulu",Finland
2188,60,4,56,10227R,Da Spicy Chicken Nuggets,The Potomac School,Virginia
2189,60,4,56,90048B,Daredevils,SYRACUSE SCHOOL,Utah
2190,60,4,56,432G,Dino Days,Valley Grove Elementary School,Pennsylvania - West
2191,60,4,56,28669B,Blue Building Bobcats,CHAMBERLAIN ELEMENTARY SCHOOL,West Virginia
2192,60,2,58,30077B,Biloxi Baddies,BILOXI UPPER ELEMENTARY,Mississippi
2193,60,2,58,18347D,Trailblazer Black,DISCOVERY ELEMENTARY SCHOOL,North Dakota
2194,60,2,58,68898B,Cyber Spots,LA VILLITA ELEMENTARY SCHOOL,Texas - Region 5
2195,60,2,58,91362G,We've Bot This,Westchester Intermediate School,Indiana - Region 1 - North
2196,60,0,60,4850B,Liholiho Warriors,KING LIHOLIHO ELEMENTARY SCHOOL,Hawaii
2197,60,0,60,6612C, 酷玩浪潮战队,"Shaoxing Cool Play Education Information Consulting Co., Ltd",East China
2198,60,0,60,138X,QRCA - Black,AAA Training and Tuition (RTO 46396),Australia
2199,60,0,60,68262B,Cyber Knights B,Tierra Del Sol Elementary School,Texas - Region 1
2200,60,0,60,18799D,Ninja Ducks,Montessori Science Academy,Indiana - Region 2 - Central
2201,60,0,60,93413A,Tech Tigers,Glen Springs,Florida - North/Central
2202,60,0,60,99500R,Collegium Robotics:  Raiders,COLLEGIUM CS,Pennsylvania - East
2203,60,0,60,2221A,The Blue Taki Flames,Duck Springs Elementary School,Alabama
2204,60,0,60,1162B,LLSY B,The Endeavourers Leung Lee Sau Yu Memorial Primary School,Hong Kong
2205,60,0,60,27777B,RoboHawks,FRANK H HAMMOND ELEMENTARY SCHOOL,Indiana - Region 1 - North
2206,60,0,60,22255C,MCE Robotics,MILL CREEK EAST ELEMENTARY,Indiana - Region 2 - Central
2207,60,0,60,40693T,Thunder Bots,Gillette College,Wyoming
2208,59,24,35,1443C,1443C,Jenison Robotics,Michigan
2209,59,19,40,47721G,Galactic Glitch,PRINCETON INTERMEDIATE SCHOOL,Minnesota
2210,59,18,41,6510E,AVAE,"Pymble Ladies College, Sydney, Australia",Australia
2211,59,18,41,802C,Frogbots,HENRY BAUERSCHLAG ELEMENTARY SCHOOL,Texas - Region 3
2212,59,18,41,1177C,Ivalee Ultimate Breakers,IVALEE ELEMENTARY SCHOOL,Alabama
2213,59,18,41,52D,Royal Robotics,HANALANI SCHOOLS,Hawaii
2214,59,13,46,11600A,GE Robotics Club,Georgetown Elementary School,Delmarva
2215,59,7,52,52654A,The Martians,NORTHERN ELEMENTARY SCHOOL,Kentucky
2216,59,7,52,10277A,MacRobotics-Purple,Douglas Macarthur Elementary School,Indiana - Region 1 - North
2217,59,7,52,16329B,WALLE-bots,MARLAN J. WALKER ELEMENTARY,Nevada
2218,59,7,52,15899D,Black Rock Three,BLACK ROCK ELEMENTARY,Colorado
2219,59,7,52,74275A,Shiloh Shark Astro-Bots,SHILOH POINT ELEMENTARY,Georgia
2220,59,6,53,56549D,How to be Elmo 101,HAWLEY ELEMENTARY,Minnesota
2221,59,6,53,2305C,Astronomical Engineers,DON ROBERTS ELEMENTARY SCHOOL,Arkansas
2222,59,4,55,19398A,Hillcrest A,HILLCREST ELEMENTARY SCHOOL,Alabama
2223,59,4,55,90317B,Midas,HIGHLAND ELEMENTARY,Mississippi
2224,59,4,55,725C,Apex Moonlight,Apex Robotics,Arizona
2225,59,0,59,17410B,Crabby Coders,MONTGOMERY CATHOLIC PREPARATORY SCHOOL,Alabama
2226,59,0,59,69433A,CougarBots,NORTON ELEMENTARY,Kentucky
2227,58,24,34,4485D,TribeTech D,Danville Community Schools,Indiana - Region 2 - Central
2228,58,0,58,92574X,SySTEM Education,SySTEM Education,Florida - South
2229,58,17,41,90270B,Maywood Leaders,Maywood Elementary School,California - South
2230,58,17,41,36695A,Alabama Robot Hawks,Dawes Intermediate School,Alabama
2231,58,17,41,77977S,The Tinker Thinkers,ASU PREPARATORY ACADEMY-POLYTECHNIC ELEMENTARY,Arizona
2232,58,17,41,6033D,Robotics Bros,BMS Robotics,New Hampshire/Vermont
2233,58,17,41,10145W,The Wildcat Pack,Private Residence,California - North
2234,58,0,58,151D,M & M,Algoma District School Board,Ontario
2235,58,17,41,814A,LCE,LEAGUE CITY ELEMENTARY SCHOOL,Texas - Region 3
2236,58,17,41,16823C,Gigabots C,Boys & Girls Club of Meriden,Connecticut
2237,58,17,41,567B,Screaming Chicken,4h electric dolphins,Missouri
2238,58,17,41,1125B,Zippy Zap,Harrison Middle School,Arkansas
2239,58,7,51,25705C,Rocking Bots,EAST BEAUREGARD ELEMENTARY SCHOOL,Louisiana
2240,58,11,47,27775A,SilverTronics,SILVER PALMS ELEMENTARY SCHOOL,Florida - South
2241,58,11,47,67352D,Trojan Delta,WEST MARSHALL MIDDLE SCHOOL,Iowa
2242,58,11,47,2547A,YuRiNe,Showa Elementary School,Japan
2243,58,2,56,340B,Salem Robotics B,SALEM ELEMENTARY SCHOOL,Tennessee
2244,58,0,58,93558M,Cheesier Chunkier Cheetos,REEDS SPRING INTERMEDIATE,Missouri
2245,58,7,51,8181W,MIMS 5th Grade,MANDARIN IMMERSION MAGNET SCHOOL,Texas - Region 3
2246,58,7,51,53732D,Boba Clan,ALL NATIONS COMMUNITY SCHOOL,Texas - Region 3
2247,58,2,56,7707V,Vex Vortex,Pleasant View Elementary Zionsville,Indiana - Region 2 - Central
2248,58,7,51,86273A,Engineering Eagles,Carpenter Community Charter,California - South
2249,58,7,51,45633A,Scoil Mhuire Pallaskenry,Scoil Mhuire Pallaskenry,Ireland
2250,58,7,51,86273E,Technician Tacos,Carpenter Community Charter,California - South
2251,58,7,51,3435A,BaileyBot Rovers,BAILEY STATION ELEMENTARY SCHOOL,Tennessee
2252,58,0,58,8009C,BricksWorkshop,汉中市卓越科技教育培训学校,West China
2253,58,0,58,4112H,The National Road Neutrons,NATIONAL ROAD ELEMENTARY SCHOOL,Ohio
2254,58,2,56,6054C,Mustangs3,LAKE AGASSIZ ELEMENTARY SCHOOL,North Dakota
2255,58,0,58,90243B,Los Hersheys,CARPENTER (C. C.) ELEMENTARY,California - South
2256,58,0,58,290W,Whirlwind,Orley Farm School,United Kingdom
2257,58,2,56,43612A,CHALLENGERS_ONE,CESAR CHAVEZ ELEMENTARY,California - South
2258,58,2,56,138G,QRCA - G,AAA Training and Tuition (RTO 46396),Australia
2259,58,2,56,18355B,Robotic Dolphins Team B,MAGNOLIA SCIENCE ACADEMY 7,California - South
